root,indicative_present_2p_s,indicative_present_1p_s,indicative_present_1p_p,indicative_present_3p_s,indicative_present_3p_p,indicative_preterite_2p_s,indicative_preterite_1p_s,indicative_preterite_1p_p,indicative_preterite_3p_s,indicative_preterite_3p_p,indicative_imperfect_2p_s,indicative_imperfect_1p_s,indicative_imperfect_1p_p,indicative_imperfect_3p_s,indicative_imperfect_3p_p,indicative_conditional_2p_s,indicative_conditional_1p_s,indicative_conditional_1p_p,indicative_conditional_3p_s,indicative_conditional_3p_p,indicative_future_2p_s,indicative_future_1p_s,indicative_future_1p_p,indicative_future_3p_s,indicative_future_3p_p,perfect_present_2p_s,perfect_present_1p_s,perfect_present_1p_p,perfect_present_3p_s,perfect_present_3p_p,perfect_past_2p_s,perfect_past_1p_s,perfect_past_1p_p,perfect_past_3p_s,perfect_past_3p_p
ser,eres,soy,somos,es,son,fuiste,fui,fuimos,fue,fueron,eras,era,éramos,era,eran,serías,sería,seríamos,sería,serían,serás,seré,seremos,será,serán,has sido,he sido,hemos sido,ha sido,han sido,habías sido,había sido,habíamos sido,había sido,habían sido
ver,ves,veo,vemos,ve,ven,viste,vi,vimos,vio,vieron,veías,veía,veíamos,veía,veían,verías,vería,veríamos,vería,verían,verás,veré,veremos,verá,verán,has visto,he visto,hemos visto,ha visto,han visto,habías visto,había visto,habíamos visto,había visto,habían visto
venir,vienes,vengo,venimos,viene,vienen,viniste,vine,vinimos,vino,vinieron,venías,venía,veníamos,venía,venían,vendrías,vendría,vendríamos,vendría,vendrían,vendrás,vendré,vendremos,vendrá,vendrán,has venido,he venido,hemos venido,ha venido,han venido,habías venido,había venido,habíamos venido,había venido,habían venido
ir,vas,voy,vamos,va,van,fuiste,fui,fuimos,fue,fueron,ibas,iba,íbamos,iba,iban,irías,iría,iríamos,iría,irían,irás,iré,iremos,irá,irán,has ido,he ido,hemos ido,ha ido,han ido,habías ido,había ido,habíamos ido,había ido,habían ido
volver,vuelves,vuelvo,volvemos,vuelve,vuelven,volviste,volví,volvimos,volvió,volvieron,volvías,volvía,volvíamos,volvía,volvían,volverías,volvería,volveríamos,volvería,volverían,volverás,volveré,volveremos,volverá,volverán,has vuelto,he vuelto,hemos vuelto,ha vuelto,han vuelto,habías vuelto,había vuelto,habíamos vuelto,había vuelto,habían vuelto
hacer,haces,hago,hacemos,hace,hacen,hiciste,hice,hicimos,hizo,hicieron,hacías,hacía,hacíamos,hacía,hacían,hacerías,hacería,haceríamos,hacería,hacerían,harás,haré,haremos,hará,harán,has hacido,he hacido,hemos hacido,ha hacido,han hacido,habías hacido,había hacido,habíamos hacido,había hacido,habían hacido
estar,estás,estoy,estamos,está,están,estuviste,estuve,estuvimos,estuvo,estuvieron,estabas,estaba,estábamos,estaba,estaban,estarías,estaría,estaríamos,estaría,estarían,estarás,estaré,estaremos,estará,estarán,has estado,he estado,hemos estado,ha estado,han estado,habías estado,había estado,habíamos estado,había estado,habían estado
tener,tienes,tengo,tenemos,tiene,tienen,tuviste,tuve,tuvimos,tuvo,tuvieron,tenías,tenía,teníamos,tenía,tenían,tendrías,tendría,tendríamos,tendría,tendrían,tendrás,tendré,tendremos,tendrá,tendrán,has tenido,he tenido,hemos tenido,ha tenido,han tenido,habías tenido,había tenido,habíamos tenido,había tenido,habían tenido
llegar,llegas,llego,llegamos,llega,llegan,llegaste,llegé,llegamos,llegó,llegaron,llegabas,llegaba,llegábamos,llegaba,llegaban,llegarías,llegaría,llegaríamos,llegaría,llegarían,llegarás,llegaré,llegaremos,llegará,llegarán,has llegado,he llegado,hemos llegado,ha llegado,han llegado,habías llegado,había llegado,habíamos llegado,había llegado,habían llegado
llevar,llevas,llevo,llevamos,lleva,llevan,llevaste,llevé,llevamos,llevó,llevaron,llevabas,llevaba,llevábamos,llevaba,llevaban,llevarías,llevaría,llevaríamos,llevaría,llevarían,llevarás,llevaré,llevaremos,llevará,llevarán,has llevado,he llevado,hemos llevado,ha llevado,han llevado,habías llevado,había llevado,habíamos llevado,había llevado,habían llevado
salir,sales,salgo,salimos,sale,salen,saliste,salí,salimos,salió,salieron,salías,salía,salíamos,salía,salían,salirías,saliría,saliríamos,saliría,salirían,salirás,saliré,saliremos,salirá,salirán,has salido,he salido,hemos salido,ha salido,han salido,habías salido,había salido,habíamos salido,había salido,habían salido
haber,has,he,hemos,ha,han,hubiste,hube,hubimos,hubo,hubieron,habías,había,habíamos,había,habían,haberías,habería,haberíamos,habería,haberían,haberás,haberé,haberemos,haberá,haberán,has habido,he habido,hemos habido,ha habido,han habido,habías habido,había habido,habíamos habido,había habido,habían habido
hablar,hablas,hablo,hablamos,habla,hablan,hablaste,hablé,hablamos,habló,hablaron,hablabas,hablaba,hablábamos,hablaba,hablaban,hablarías,hablaría,hablaríamos,hablaría,hablarían,hablarás,hablaré,hablaremos,hablará,hablarán,has hablado,he hablado,hemos hablado,ha hablado,han hablado,habías hablado,había hablado,habíamos hablado,había hablado,habían hablado
comer,comes,como,comemos,come,comen,comiste,comí,comimos,comió,comieron,comías,comía,comíamos,comía,comían,comerías,comería,comeríamos,comería,comerían,comerás,comeré,comeremos,comerá,comerán,has comido,he comido,hemos comido,ha comido,han comido,habías comido,había comido,habíamos comido,había comido,habían comido
vivir,vives,vivo,vivimos,vive,viven,viviste,viví,vivimos,vivió,vivieron,vivías,vivía,vivíamos,vivía,vivían,vivirías,viviría,viviríamos,viviría,vivirían,vivirás,viviré,viviremos,vivirá,vivirán,has vivido,he vivido,hemos vivido,ha vivido,han vivido,habías vivido,había vivido,habíamos vivido,había vivido,habían vivido
decir,dices,digo,decimos,dice,dicen,dijiste,dije,dijimos,dijo,dijeron,decías,decía,decíamos,decía,decían,dirías,diría,diríamos,diría,dirían,decirás,deciré,deciremos,decirá,decirán,has dicho,he dicho,hemos dicho,ha dicho,han dicho,habías dicho,había dicho,habíamos dicho,había dicho,habían dicho
levantar,levantas,levanto,levantamos,levanta,levantan,levantaste,levanté,levantamos,levantó,levantaron,levantabas,levantaba,levantábamos,levantaba,levantaban,levantarías,levantaría,levantaríamos,levantaría,levantarían,levantarás,levantaré,levantaremos,levantará,levantarán,has levantado,he levantado,hemos levantado,ha levantado,han levantado,habías levantado,había levantado,habíamos levantado,había levantado,habían levantado
querer,quieres,quiero,queremos,quiere,quieren,quisiste,quise,quisimos,quiso,quisieron,querías,quería,queríamos,quería,querían,quererías,querería,quereríamos,querería,quererían,quererás,quereré,quereremos,quererá,quererán,has querido,he querido,hemos querido,ha querido,han querido,habías querido,había querido,habíamos querido,había querido,habían querido
creer,crees,creo,creemos,cree,creen,creiste,creí,creimos,creió,creieron,creías,creía,creíamos,creía,creían,creerías,creería,creeríamos,creería,creerían,creerás,creeré,creeremos,creerá,creerán,has creido,he creido,hemos creido,ha creido,han creido,habías creido,había creido,habíamos creido,había creido,habían creido
